Repositório,Idade (dias),PR's aceitas,Releases,Última atualização (dias),Linguagem principal,Issues,Issues fechadas
https://github.com/home-assistant/core,4005,62656,1000,0,Python,51669,95.72%
https://github.com/mermaid-js/mermaid,3595,2144,130,0,JavaScript,2914,67.43%
https://github.com/netdata/netdata,4097,9007,90,0,C,7907,97.84%
https://github.com/DopplerHQ/awesome-interview-questions,3203,176,0,37,N/A,62,56.45%
https://github.com/elastic/elasticsearch,5322,66102,153,0,Java,36042,89.39%
https://github.com/microsoft/ML-For-Beginners,1281,365,0,4,HTML,131,100.00%
https://github.com/nomic-ai/gpt4all,527,742,23,0,C++,1826,70.59%
https://github.com/thedaviddias/Front-End-Checklist,2515,176,1,119,N/A,148,98.65%
https://github.com/moby/moby,4247,20001,189,0,Go,22633,86.44%
https://github.com/base-org/node,581,114,35,5,Shell,162,90.12%
https://github.com/shadcn-ui/ui,609,358,19,1,TypeScript,2163,85.16%
https://github.com/anuraghazra/github-readme-stats,1518,1142,0,1,JavaScript,1212,89.52%
https://github.com/hakimel/reveal.js,4838,402,47,83,JavaScript,2395,69.48%
https://github.com/pallets/flask,5265,1570,34,3,Python,2645,99.77%
https://github.com/coder/code-server,2016,1481,161,1,TypeScript,3500,97.03%
https://github.com/fighting41love/funNLP,2206,14,0,117,Python,207,26.09%
https://github.com/CompVis/stable-diffusion,756,5,0,78,Jupyter Notebook,709,26.66%
https://github.com/MunGell/awesome-for-beginners,3238,335,0,15,N/A,161,77.02%
https://github.com/swiftlang/swift,3239,50042,53,0,C++,15437,56.90%
https://github.com/openai/whisper,719,95,10,16,Python,0,0.00%
https://github.com/vitejs/vite,1597,4526,462,0,TypeScript,7296,93.50%
https://github.com/nestjs/nest,2769,6358,97,0,TypeScript,5358,98.86%
https://github.com/2dust/v2rayN,1863,140,187,0,C#,4625,99.48%
https://github.com/Developer-Y/cs-video-courses,2875,150,0,3,N/A,137,99.27%
https://github.com/Anduin2017/HowToCook,1649,503,3,22,Dockerfile,662,44.56%
https://github.com/redis/redis,5646,3821,69,0,C,6521,68.93%
https://github.com/bregman-arie/devops-exercises,1798,278,0,4,Python,87,66.67%
https://github.com/microsoft/playwright,1755,13007,131,0,TypeScript,14120,95.61%
https://github.com/josephmisiti/awesome-machine-learning,3704,836,0,28,Python,88,98.86%
https://github.com/protocolbuffers/protobuf,3662,5817,166,0,C++,6252,96.13%
https://github.com/expressjs/express,5549,332,153,2,JavaScript,3852,97.38%
https://github.com/webpack/webpack,4561,4718,415,0,JavaScript,9888,98.51%
https://github.com/ggerganov/llama.cpp,544,3144,1000,0,C++,3688,91.51%
https://github.com/chartjs/Chart.js,4189,2958,110,6,JavaScript,7147,94.46%
https://github.com/enaqx/awesome-react,3682,777,0,14,N/A,106,97.17%
https://github.com/binary-husky/gpt_academic,534,192,30,2,Python,1561,79.82%
https://github.com/grafana/grafana,3920,45875,447,0,TypeScript,37061,89.53%
https://github.com/hoppscotch/hoppscotch,1841,1519,49,1,TypeScript,1574,75.98%
https://github.com/junegunn/fzf,3969,507,50,2,Go,2752,91.46%
https://github.com/syncthing/syncthing,3935,2529,380,0,Go,5463,93.48%
https://github.com/kdn251/interviews,2759,42,0,114,Java,53,43.40%
https://github.com/leonardomso/33-js-concepts,2192,238,0,29,JavaScript,85,91.76%
https://github.com/FuelLabs/sway,1324,3053,147,0,Rust,2992,74.10%
https://github.com/ByteByteGoHq/system-design-101,352,21,0,19,N/A,46,32.61%
https://github.com/strapi/strapi,3262,8274,389,0,TypeScript,9541,92.89%
https://github.com/ansible/ansible,4565,38296,101,0,Python,32447,98.37%
https://github.com/lydiahallie/javascript-questions,1911,328,0,31,N/A,240,96.25%
https://github.com/python/cpython,2763,44620,0,0,Python,69002,89.62%
https://github.com/twitter/the-algorithm,527,2,0,56,Scala,969,75.44%
https://github.com/resume/resume.github.com,4959,84,0,567,JavaScript,119,53.78%
https://github.com/3b1b/manim,3454,575,10,9,Python,1133,63.81%
https://github.com/microsoft/generative-ai-for-beginners,443,257,0,1,Jupyter Notebook,111,90.09%
https://github.com/keras-team/keras,3448,3599,70,0,Python,12082,98.17%
https://github.com/apache/superset,3333,13071,205,0,TypeScript,10586,94.14%
https://github.com/ventoy/Ventoy,1639,279,97,25,C,2235,69.17%
https://github.com/d2l-ai/d2l-zh,2569,1020,16,36,Python,0,0.00%
https://github.com/socketio/socket.io,5291,429,63,12,TypeScript,3534,94.85%
https://github.com/sdmg15/Best-websites-a-programmer-should-visit,2740,415,0,1,N/A,152,63.16%
https://github.com/reduxjs/redux,3386,1686,78,6,TypeScript,2048,98.24%
https://github.com/tesseract-ocr/tesseract,3676,1384,32,0,C++,2635,84.86%
https://github.com/kelseyhightower/nocode,2402,1,1,28,Dockerfile,4671,14.34%
https://github.com/atom/atom,4611,3937,538,610,JavaScript,17113,94.37%
https://github.com/apache/echarts,4172,1314,116,0,TypeScript,18378,88.64%
https://github.com/awesomedata/awesome-public-datasets,3576,188,1,58,N/A,113,41.59%
https://github.com/xtekky/gpt4free,525,556,145,5,Python,1316,98.94%
https://github.com/swisskyrepo/PayloadsAllTheThings,2878,518,3,9,Python,0,0.00%
https://github.com/xingshaocheng/architect-awesome,2343,49,0,146,N/A,71,30.99%
https://github.com/adam-p/markdown-here,4497,20,11,597,JavaScript,617,50.41%
https://github.com/lodash/lodash,4533,580,2,25,JavaScript,4265,98.55%
https://github.com/h5bp/Front-end-Developer-Interview-Questions,4591,484,0,3,Nunjucks,176,80.68%
https://github.com/scikit-learn/scikit-learn,5132,12347,42,0,Python,11104,85.97%
https://github.com/ocornut/imgui,3698,363,101,0,C++,5885,84.44%
https://github.com/jquery/jquery,5633,749,10,2,JavaScript,2329,96.69%
https://github.com/angular/angular.js,5355,790,0,145,JavaScript,9037,95.67%
https://github.com/obsproject/obs-studio,3991,4809,208,1,C,4005,86.72%
https://github.com/fffaraz/awesome-cpp,3702,708,0,12,N/A,574,40.24%
https://github.com/TheAlgorithms/Java,2972,1460,0,1,Java,995,99.70%
